City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,vilhena,-12.7406,-60.1458,297.27,83,40,2.06,BR,1682639975
149,biratnagar,26.4831,87.2834,296.66,39,1,1.58,NP,1682639975
150,kulhudhuffushi,6.6221,73.07,301.76,73,90,1.49,MV,1682639885
151,mao,39.8885,4.2658,289.46,88,0,2.06,ES,1682639976
152,crane,31.3974,-102.3501,299.12,15,0,2.29,US,1682639976
153,smyrna,33.884,-84.5144,289.23,93,100,4.63,US,1682639974
154,richards bay,-28.783,32.0377,296.64,82,48,8.06,ZA,1682639977
155,klyuchi,52.2667,79.1667,286.61,54,74,4.13,RU,1682639977
156,cabo san lucas,22.8909,-109.9124,301.82,47,0,6.69,MX,1682639702
157,yamada,39.4667,141.95,288.65,42,39,3.18,JP,1682639978
158,fort st. john,56.2499,-120.8529,286.09,33,75,10.8,CA,1682639813
159,devils lake,48.1128,-98.8651,282.21,83,100,2.57,US,1682639978
160,dalandzadgad,43.5708,104.425,272.04,44,51,12.14,MN,1682639979
161,maragogi,-9.0122,-35.2225,298.71,87,94,2.22,BR,1682639874
162,vangviang,18.9333,102.45,299.12,74,0,0.61,LA,1682639979
163,st. john's,47.5649,-52.7093,273.86,93,100,7.2,CA,1682639927
164,badger,64.8,-147.5333,280.29,43,40,3.6,US,1682639979
165,novoorsk,51.381,58.9813,282.51,52,100,1.36,RU,1682639980
166,loboc,9.6383,124.0348,301.71,73,33,3.97,PH,1682639980
167,cururupu,-1.8283,-44.8683,296.07,98,79,1.31,BR,1682639928
168,walvis bay,-22.9575,14.5053,288.2,69,1,4.65,,1682639781
169,lubao,14.9167,120.55,300.99,67,14,3.07,PH,1682639981
170,jining,35.405,116.5814,289.96,71,99,1.99,CN,1682639981
171,ballina,-28.8667,153.5667,294.3,71,36,2.04,AU,1682639981
172,east wenatchee bench,47.4257,-120.2812,297.78,27,0,4.12,US,1682639981
173,kill devil hills,36.0307,-75.676,289.16,82,40,3.6,US,1682639782
174,cromer,52.9312,1.2989,282.15,87,100,10.77,GB,1682639982
175,sendai,38.2689,140.8719,286.81,54,0,1.54,JP,1682639982
176,papao,-17.75,-149.55,302.97,75,78,2.18,PF,1682639907
